countryname,countrycode,year,forestareaoflandarea
World,WLD,1992,32.511021
World,WLD,1993,32.454853
World,WLD,1994,32.397152
World,WLD,1995,32.337257
World,WLD,1996,32.276722
World,WLD,1997,32.198818
World,WLD,1998,32.144665
World,WLD,1999,32.082355
World,WLD,2000,32.004845
World,WLD,2001,31.964888
World,WLD,2002,31.925179
World,WLD,2003,31.883171
World,WLD,2004,31.806942
World,WLD,2005,31.766066
World,WLD,2006,31.727345
World,WLD,2007,31.687578
World,WLD,2008,31.651627
World,WLD,2009,31.612179
World,WLD,2010,31.571772
World,WLD,2011,31.536964
World,WLD,2012,31.472313
World,WLD,2013,31.4382
World,WLD,2014,31.403807
World,WLD,2015,31.368387
World,WLD,2016,31.340916
World,WLD,2017,31.289997
World,WLD,2018,31.252636
World,WLD,2019,31.213755
World,WLD,2020,31.176905
World,WLD,2021,31.17705
